case,pmax,beta,gamma,p,s,r,c,rho_P,rc
1,10,1.6666666666666667,17.5,0.9098243787402303,0.09017562125976966,-13.486157002625806,1.7568422879264365,11.423016507321023,-23.693050923828253
1,10,1.6666666666666667,18.125,0.9091181673890844,0.09088183261091554,-13.980237141268582,1.7575484992775823,11.861257237646408,-24.570944807181313
1,10,1.6666666666666667,18.75,0.9084580670626912,0.09154193293730883,-14.47430111771152,1.7582085996039756,12.299545082938272,-25.44884069841783
1,10,1.6666666666666667,19.375,0.9078397025910937,0.09216029740890626,-14.96835043351328,1.758826964075573,12.737875544355484,-26.32673835019545
1,10,1.6666666666666667,20.0,0.9072592355479674,0.09274076445203261,-15.462386409741644,1.7594074311186993,13.176244678278751,-27.204637552128233
1,10,2.5,5.0,3.4418924315688626,0.941892431568863,-2.220446049250313e-16,3.441892431568863,9.860761315262648e-32,-7.642536451621636e-16
1,10,2.5,5.625,3.4484470030655174,0.948447003065513,1.4432899320127035e-15,3.448447003065513,6.409494854920721e-30,4.9771088406038355e-15
1,10,2.5,6.25,3.453672503740077,0.953672503740082,-1.5543122344752192e-15,3.4536725037400817,7.937912858786431e-30,-5.3680854264338715e-15
1,10,2.5,6.875,3.4579360217951534,0.9579360217951534,1.1102230246251565e-16,3.4579360217951534,0.0,3.8390801890776964e-16
1,10,2.5,7.5,3.4614808402861783,0.9614808402861736,1.2212453270876722e-15,3.461480840286174,5.694589659564179e-30,4.227317301002999e-15
1,10,2.5,8.125,3.4644745775085326,0.964474577508537,-1.3322676295501878e-15,3.464474577508537,5.9164567891575885e-30,-4.6156073330141876e-15
1,10,2.5,8.75,3.4670364835128815,0.9670364835128826,-2.220446049250313e-16,3.4670364835128824,2.465190328815662e-31,-7.698367462422878e-16
1,10,2.5,9.375,3.4692537140670536,0.9692537140670465,1.9984014443252818e-15,3.4692537140670465,1.4199496293978212e-29,6.932961632922434e-15
1,10,2.5,10.0,3.471191447805849,0.9711914478058505,-4.440892098500626e-16,3.4711914478058503,6.902532920683853e-31,-1.541518667294395e-15
1,10,2.5,10.625,3.4728994030242006,0.9728994030242091,-2.4424906541753444e-15,3.472899403024209,2.0608991148898933e-29,-8.482524334777763e-15
1,10,2.5,11.25,3.474416165289314,0.9744161652893164,-6.661338147750939e-16,3.474416165289316,1.627025617018337e-30,-2.3144260943004255e-15
1,10,2.5,11.875,3.47577213840189,0.9757721384018838,1.7763568394002505e-15,3.475772138401884,1.1044052673094165e-29,6.17421161024702e-15
1,10,2.5,12.5,3.4769916039170496,0.9769916039170543,-1.3322676295501878e-15,3.476991603917054,6.212279628615468e-30,-4.63228336211648e-15
1,10,2.5,13.125,3.4780941883501337,0.9780941883501384,-1.3322676295501878e-15,3.4780941883501386,6.212279628615468e-30,-4.633752299665524e-15
1,10,2.5,13.75,3.479095927724292,0.9790959277242912,2.220446049250313e-16,3.479095927724291,1.9721522630525295e-31,7.725144807678255e-16
1,10,2.5,14.375,3.4800100527478626,0.9800100527478721,-2.6645352591003757e-15,3.480010052747872,2.544076419337763e-29,-9.272609487570463e-15
1,10,2.5,15.0,3.480847576574348,0.9808475765743594,-3.3306690738754696e-15,3.4808475765743596,3.7717412030879627e-29,-1.1593551374170595e-14
1,10,2.5,15.625,3.4816177407268523,0.9816177407268614,-2.6645352591003757e-15,3.481617740726861,2.4257472835546113e-29,-9.276893228876112e-15
1,10,2.5,16.25,3.482328357575883,0.9823283575758779,1.3322676295501878e-15,3.482328357575878,6.803925307531227e-30,4.6393933462630145e-15
1,10,2.5,16.875,3.4829860763262803,0.9829860763262759,1.3322676295501878e-15,3.482986076326276,5.9164567891575885e-30,4.6402696036635174e-15
1,10,2.5,17.5,3.483596591729804,0.9835965917297897,3.9968028886505635e-15,3.48359659172979,5.768545369428649e-29,1.3923248920718882e-14
1,10,2.5,18.125,3.48416480941313,0.9841648094131354,-1.5543122344752192e-15,3.4841648094131354,8.283039504820624e-30,-5.415479990198856e-15
1,10,2.5,18.75,3.4846949779908405,0.9846949779908474,-1.9984014443252818e-15,3.4846949779908476,1.3755762034791393e-29,-6.963819477049966e-15
1,10,2.5,19.375,3.4851907954960515,0.9851907954960439,2.1094237467877974e-15,3.485190795496044,1.5925129524149176e-29,7.35174422610561e-15
1,10,2.5,20.0,3.4856554957709847,0.9856554957709782,1.887379141862766e-15,3.4856554957709784,1.2153388321061213e-29,6.578753478437464e-15
1,10,3.3333333333333335,5.0,4.286677148821054,0.953343815487713,1.887379141862766e-15,4.286677148821046,1.4667882456453188e-29,8.090585038584595e-15
1,10,3.3333333333333335,5.625,4.291911750572691,0.9585784172393443,2.9976021664879227e-15,4.291911750572678,3.9270481938033494e-29,1.2865443961891631e-14
1,10,3.3333333333333335,6.25,4.296090167157939,0.962756833824592,3.1086244689504383e-15,4.296090167157925,4.0724944232034734e-29,1.3354931014444506e-14
1,10,3.3333333333333335,6.875,4.299502782965785,0.96616944963245,3.3306690738754696e-16,4.299502782965783,5.17689969051289e-31,1.432022095226565e-15
1,10,3.3333333333333335,7.5,4.302342463952193,0.9690091306188464,3.219646771412954e-15,4.30234246395218,4.360921691674906e-29,1.385202302357649e-14
1,10,3.3333333333333335,8.125,4.304742325142669,0.9714089918093196,3.885780586188048e-15,4.304742325142653,6.298561290124016e-29,1.672728415558132e-14
1,10,3.3333333333333335,8.75,4.306797207114814,0.9734638737814463,8.104628079763643e-15,4.30679720711478,2.7533710782542128e-28,3.490498957863008e-14
1,10,3.3333333333333335,9.375,4.308576510189001,0.9752431768556462,4.9960036108132044e-15,4.3085765101889795,1.0538688655686955e-28,2.1525663802369097e-14
1,10,3.3333333333333335,10.0,4.310132188769728,0.9767988554363705,5.329070518200751e-15,4.310132188769704,1.2897875800363543e-28,2.2968998376720708e-14
1,10,3.3333333333333335,10.625,4.311503909299728,0.9781705759663548,9.325873406851315e-15,4.311503909299688,3.706660178407229e-28,4.0208539651273445e-14
1,10,3.3333333333333335,11.25,4.312722480375991,0.9793891470426497,1.887379141862766e-15,4.312722480375983,1.5506047168250513e-29,8.139742454104284e-15
1,10,3.3333333333333335,11.875,4.313812194601085,0.9804788612677247,6.217248937900877e-15,4.313812194601058,1.6704129668054925e-28,2.682004428518728e-14
1,10,3.3333333333333335,12.5,4.314792464762401,0.9814591314290697,-4.440892098500626e-16,4.314792464762403,1.0846837446788912e-30,-1.91615277634334e-15
1,10,3.3333333333333335,13.125,4.315678990561992,0.9823456572286544,8.881784197001252e-16,4.315678990561988,3.3526588471893e-30,3.833092945770378e-15
1,10,3.3333333333333335,13.75,4.316484605869281,0.9831512725359006,1.0880185641326534e-14,4.316484605869234,5.097520561925026e-28,4.696415382978546e-14
1,10,3.3333333333333335,14.375,4.317219904104228,0.9838865707708864,2.1094237467877974e-15,4.31721990410422,1.6393515686624152e-29,9.106846185822379e-15
1,10,3.3333333333333335,15.0,4.317893706701701,0.9845603733683406,6.328271240363392e-15,4.317893706701674,1.7283449395326606e-28,2.7324802563066287e-14
1,10,3.3333333333333335,15.625,4.318513418748395,0.9851800854150066,1.2656542480726785e-14,4.31851341874834,6.997689267376138e-28,5.4657448537977026e-14
1,10,3.3333333333333335,16.25,4.319085302273147,0.9857519689397953,4.3298697960381105e-15,4.319085302273129,7.979821094376298e-29,1.870107699682455e-14
1,10,3.3333333333333335,16.875,4.319614688609004,0.9862813552756158,1.27675647831893e-14,4.319614688608949,7.002373129000888e-28,5.5150960375230835e-14
1,10,3.3333333333333335,17.5,4.320106145106184,0.9867728117727876,1.4876988529977098e-14,4.320106145106121,9.348494764934753e-28,6.427016956902733e-14
1,10,3.3333333333333335,18.125,4.3205636072493485,0.987230273915993,5.218048215738236e-15,4.320563607249326,1.1470530599979275e-28,2.2544909221790904e-14
1,10,3.3333333333333335,18.75,4.32099048427424,0.9876571509408703,8.326672684688674e-15,4.320990484274204,3.0506730319093816e-28,3.59794734362057e-14
1,10,3.3333333333333335,19.375,4.321389744284483,0.9880564109511136,8.215650382226158e-15,4.321389744284447,2.9370277577509796e-28,3.550302730437872e-14
1,10,3.3333333333333335,20.0,4.321763983365965,0.9884306500326152,4.218847493575595e-15,4.3217639833659485,7.025792437124636e-29,1.823286314904871e-14
1,10,4.166666666666667,5.0,5.127662539845562,0.9609958731788883,1.1102230246251565e-15,5.127662539845556,7.395570986446986e-30,5.692849014244445e-15
1,10,4.166666666666667,5.625,5.132025808571047,0.9653591419043783,3.3306690738754696e-16,5.132025808571045,5.9164567891575885e-31,1.7093079646938332e-15
1,10,4.166666666666667,6.25,5.135511052676392,0.9688443860097204,7.771561172376096e-16,5.135511052676387,3.796393106376119e-30,3.99109382972881e-15
1,10,4.166666666666667,6.875,5.13835907990744,0.9716924132407723,1.1102230246251565e-16,5.138359079907439,9.860761315262648e-32,5.704724559304974e-16
1,10,4.166666666666667,7.5,5.140730013118783,0.9740633464521427,-5.10702591327572e-15,5.14073001311881,1.3607850615062454e-28,-2.6253841390151994e-14
1,10,4.166666666666667,8.125,5.142734471887829,0.9760678052211893,-5.10702591327572e-15,5.142734471887856,1.3834648125313495e-28,-2.6264078213027606e-14
1,10,4.166666666666667,8.75,5.144451330776157,0.9777846641094627,4.9960036108132044e-15,5.14445133077613,1.3533894905197984e-28,2.570169742421034e-14
1,10,4.166666666666667,9.375,5.14593834473176,0.9792716780651154,-4.218847493575595e-15,5.145938344731782,9.555077714489505e-29,-2.1709929087766225e-14
1,10,4.166666666666667,10.0,5.147238774474054,0.9805721078074101,-4.440892098500626e-15,5.1472387744740775,1.00579765415679e-28,-2.2858332002657976e-14
1,10,4.166666666666667,10.625,5.148385664973423,0.9817189983067616,-8.881784197001252e-16,5.1483856649734285,4.733165431326071e-30,-4.572685043922878e-15
1,10,4.166666666666667,11.25,5.149404692867626,0.9827380262009688,-1.9984014443252818e-15,5.149404692867636,1.9524307404220042e-29,-1.0290577775642067e-14
1,10,4.166666666666667,11.875,5.150316111770913,0.9836494451042861,-7.771561172376096e-15,5.1503161117709535,3.1406524789111533e-28,-4.0025996719702166e-14
1,10,4.166666666666667,12.5,5.151136112191388,0.9844694455247143,1.3322676295501878e-15,5.151136112191381,8.874685183736383e-30,6.862691897679581e-15
1,10,4.166666666666667,13.125,5.151877791761256,0.9852111250945592,5.995204332975845e-15,5.151877791761226,1.810435777482222e-28,3.088656006012893e-14
1,10,4.166666666666667,13.75,5.152551860120025,0.9858851934533313,5.218048215738236e-15,5.152551860119998,1.3903673454520333e-28,2.6886264040197884e-14
1,10,4.166666666666667,14.375,5.1531671594240205,0.9865004927573358,3.6637359812630166e-15,5.153167159424003,6.508102468073347e-29,1.8879843939444652e-14
1,10,4.166666666666667,15.0,5.153731054396056,0.9870643877293905,-2.220446049250313e-16,5.153731054396058,2.9582283945787943e-31,-1.1443581758632377e-15
1,10,4.166666666666667,15.625,5.154249728533905,0.9875830618672401,-4.440892098500626e-16,5.154249728533907,7.888609052210118e-31,-2.2889466893145225e-15
1,10,4.166666666666667,16.25,5.154728411802001,0.9880617451352887,8.881784197001252e-15,5.154728411801956,4.02319061662716e-28,4.578318534777597e-14
1,10,4.166666666666667,16.875,5.15517155761027,0.988504890943585,3.4416913763379853e-15,5.155171557610252,6.266513815849413e-29,1.7742509493370064e-14
1,10,4.166666666666667,17.5,5.155582981786638,0.9889163151199916,-3.9968028886505635e-15,5.155582981786658,8.3422040727122e-29,-2.06058489542826e-14
1,10,4.166666666666667,18.125,5.155965972735611,0.9892993060689594,-2.6645352591003757e-15,5.155965972735626,4.02319061662716e-29,-1.3738253129075844e-14
1,10,4.166666666666667,18.75,5.156323379520359,0.9896567128537437,-9.992007221626409e-15,5.15632337952041,5.191690832485784e-28,-5.152202044520903e-14
1,10,4.166666666666667,19.375,5.156657682863564,0.9899910161969205,-4.440892098500626e-15,5.156657682863587,1.0452406994178406e-28,-2.2900160358501453e-14
1,10,4.166666666666667,20.0,5.156971052809579,0.990304386142955,-8.215650382226158e-15,5.156971052809622,3.5025424191812924e-28,-4.2367871201144604e-14
1,10,5.0,5.0,5.966479394838274,0.9664793948382653,1.6653345369377348e-15,5.966479394838265,1.4051584874249273e-29,9.936184200151519e-15
1,10,5.0,5.625,5.970222587992758,0.9702225879927289,4.9960036108132044e-15,5.970222587992729,1.4643230553165032e-28,2.982725360697023e-14
1,10,5.0,6.25,5.973213749463712,0.9732137494637012,1.9984014443252818e-15,5.973213749463701,2.129924444096732e-29,1.1936878984191893e-14
1,10,5.0,6.875,5.975658826973518,0.9756588269735249,-1.1102230246251565e-15,5.975658826973525,7.395570986446986e-30,-6.634314017010562e-15
1,10,5.0,7.5,5.977694857883643,0.9776948578836393,7.771561172376096e-16,5.977694857883639,2.7610131682735413e-30,4.645602125784073e-15
1,10,5.0,8.125,5.979416566531629,0.9794165665316217,1.2212453270876722e-15,5.979416566531622,9.219811829770575e-30,7.302334540587356e-15
1,10,5.0,8.75,5.980891525318313,0.9808915253182708,7.105427357601002e-15,5.98089152531827,2.997671439839845e-28,4.2496790266840424e-14
1,10,5.0,9.375,5.982169232845985,0.9821692328460054,-3.552713678800501e-15,5.982169232846005,7.257520328033309e-29,-2.1252934462431502e-14
1,10,5.0,10.0,5.983286778035238,0.9832867780352594,-3.3306690738754696e-15,5.983286778035259,7.247659566718046e-29,-1.9928348231730037e-14
1,10,5.0,10.625,5.984272499779653,0.9842724997796659,-1.9984014443252818e-15,5.9842724997796655,2.573658703283551e-29,-1.1958978806795748e-14
1,10,5.0,11.25,5.985148423631719,0.985148423631748,-4.884981308350689e-15,5.985148423631748,1.4317825429761364e-28,-2.923733817714568e-14
1,10,5.0,11.875,5.9859319271685365,0.9859319271685032,5.773159728050814e-15,5.985931927168503,1.9228484564762163e-28,3.45577411367828e-14
1,10,5.0,12.5,5.986636904613645,0.9866369046136159,4.773959005888173e-15,5.986636904613616,1.3992420306357697e-28,2.8579959165762664e-14
1,10,5.0,13.125,5.987274597992202,0.9872745979922106,-1.3322676295501878e-15,5.987274597992211,1.1832913578315177e-29,-7.976652136133136e-15
1,10,5.0,13.75,5.987854201140469,0.9878542011404652,6.661338147750939e-16,5.987854201140465,2.662405555120915e-30,3.98871216132277e-15
1,10,5.0,14.375,5.988383305837546,0.988383305837572,-4.218847493575595e-15,5.988383305837572,1.0866558969419438e-28,-2.5264075900402776e-14
1,10,5.0,15.0,5.9888682361947225,0.9888682361946528,1.1435297153639112e-14,5.988868236194653,7.972918561455614e-28,6.848448789487641e-14
1,10,5.0,15.625,5.98931430264529,0.9893143026453406,-8.215650382226158e-15,5.98931430264534,4.122784305911313e-28,-4.9206112339800786e-14
1,10,5.0,16.25,5.98972599722137,0.9897259972214072,-6.217248937900877e-15,5.989725997221408,2.2916409296670393e-28,-3.723961759454207e-14
1,10,5.0,16.875,5.990107145361371,0.9901071453613066,1.0880185641326534e-14,5.990107145361307,7.006070914494111e-28,6.517347775296757e-14
1,10,5.0,17.5,5.990461025136,0.9904610251359478,8.548717289613705e-15,5.990461025135948,4.44177993446006e-28,5.1210757738336724e-14
1,10,5.0,18.125,5.990790461768684,0.9907904617687437,-9.992007221626409e-15,5.990790461768744,5.9460390731033765e-28,-5.98600215572439e-14
1,10,5.0,18.75,5.991097903223345,0.9910979032232743,1.1879386363489175e-14,5.991097903223274,8.388056612828171e-28,7.117056673387914e-14
1,10,5.0,19.375,5.991385481139808,0.9913854811398335,-4.218847493575595e-15,5.991385481139833,1.0679204504429447e-28,-2.5276741620151995e-14
1,10,5.0,20.0,5.991655060330325,0.9916550603303182,1.3322676295501878e-15,5.991655060330318,9.466330862652142e-30,7.982488084308662e-15
1,10,5.833333333333334,5.0,6.803938594208229,0.9706052608748927,4.440892098500626e-16,6.803938594208226,9.860761315262648e-31,3.021555714170277e-15
1,10,5.833333333333334,5.625,6.807217261088348,0.9738839277550317,-2.6645352591003757e-15,6.807217261088366,4.733165431326071e-29,-1.813807040852664e-14
1,10,5.833333333333334,6.25,6.809837913614143,0.9765045802808126,-4.440892098500626e-16,6.809837913614146,1.3805065841367707e-30,-3.024175538263905e-15
1,10,5.833333333333334,6.875,6.811980579349376,0.9786472460160129,3.9968028886505635e-15,6.811980579349347,1.1537090738857298e-28,2.722614365697501e-14
1,10,5.833333333333334,7.5,6.8137651017694365,0.9804317684361163,-1.9984014443252818e-15,6.81376510176945,2.7511524069582787e-29,-1.3616638020669269e-14
1,10,5.833333333333334,8.125,6.815274350415103,0.9819410170818101,-5.995204332975845e-15,6.8152743504151445,2.476037166262451e-28,-4.0858962316028016e-14
1,10,5.833333333333334,8.75,6.816567458870113,0.9832341255367467,4.773959005888173e-15,6.816567458870081,1.5264458516026578e-28,3.254201360951708e-14
1,10,5.833333333333334,9.375,6.817687755169979,0.9843544218366733,-4.218847493575595e-15,6.817687755170008,1.180333129436939e-28,-2.876278489788001e-14
1,10,5.833333333333334,10.0,6.818667711803295,0.9853343784700201,-8.881784197001252e-15,6.818667711803354,5.2459250197197285e-28,-6.056193512729772e-14
1,10,5.833333333333334,10.625,6.819532145061633,0.986198811728312,-1.7763568394002505e-15,6.819532145061646,2.3665827156630354e-29,-1.2113922567390116e-14
1,10,5.833333333333334,11.25,6.820300345872244,0.9869670125388708,5.662137425588298e-15,6.820300345872205,2.237899780498858e-28,3.861747784211583e-14
1,10,5.833333333333334,11.875,6.82098753650186,0.9876542031685083,2.7755575615628914e-15,6.820987536501843,5.053640174072107e-29,1.8932043534263927e-14
1,10,5.833333333333334,12.5,6.8216058894885165,0.9882725561552488,-9.547918011776346e-15,6.821605889488582,6.317789774688778e-28,-6.513213374148763e-14
1,10,5.833333333333334,13.125,6.822165254967729,0.9888319216344112,-2.220446049250313e-15,6.822165254967745,3.6484816866471796e-29,-1.5148249887725883e-14
1,10,5.833333333333334,13.75,6.822673689322961,0.9893403559896048,3.3306690738754696e-15,6.822673689322938,7.543482406175925e-29,2.2724068258171764e-14
1,10,5.833333333333334,14.375,6.823137845719815,0.9898045123864905,-1.1102230246251565e-15,6.823137845719824,1.035379938102578e-29,-7.575204736509438e-15
