case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
6,1.0,0.10101010101010101,2.4242443434343435,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.4545472727272726,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.484850202020202,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.5151531313131312,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.5454560606060603,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.57575898989899,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.606061919191919,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.6363648484848485,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.6666677777777776,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.696970707070707,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.7272736363636363,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.7575765656565654,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.787879494949495,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.818182424242424,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.8484853535353536,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.8787882828282827,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.909091212121212,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.9393941414141413,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,2.9696970707070705,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
6,1.0,0.10101010101010101,3.0,,10,10.0,1.0,1.0,1.101010101010101,8.8989898989899,1.101010101010101,8.08256880733945
3,1.0,0.20202020202020202,1e-05,,10,10.0,0.0,0.9999,0.20202020202020202,9.796999999999999,0.20199999999999999,48.5
6,1.0,0.20202020202020202,0.03031292929292929,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.060615858585858585,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.09091878787878786,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.12122171717171716,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.15152464646464647,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.18182757575757574,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.21213050505050504,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.24243343434343434,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.2727363636363636,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.30303929292929294,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.3333422222222222,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.3636451515151515,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.3939480808080808,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.4242510101010101,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.4545539393939394,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.48485686868686867,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.5151597979797979,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.5454627272727272,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.5757656565656565,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.6060685858585858,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.636371515151515,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.6666744444444443,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.6969773737373737,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
6,1.0,0.20202020202020202,0.7272803030303029,,10,10.0,1.0,1.0,1.202020202020202,8.797979797979798,1.202020202020202,7.319327731092437
