case,Kn,Ks,gamma,eps,m,f_s,pmax,p,r,E,P
1,0.050505050505050504,1.6666666666666667,0.4,0.1,1.25,0.34,10,8.627313131313132,0.03171627723224979,0.030523618343208266,0.006739708911853083
1,0.050505050505050504,1.7171717171717171,0.4,0.1,1.25,0.34,10,8.806989898989897,0.02951679193051352,0.02840684248675849,0.006272318285234121
1,0.050505050505050504,1.7676767676767677,0.4,0.1,1.25,0.34,10,8.986666666666663,0.02746983826283785,0.02643686246480209,0.0058373406308530355
1,0.050505050505050504,1.8181818181818181,0.4,0.1,1.25,0.34,10,9.166343434343402,0.02556483834567417,0.024603498164523438,0.005432528148455692
1,0.050505050505050504,1.8686868686868687,0.4,0.1,1.25,0.34,10,9.346020202019895,0.023791947858851317,0.02289727545156707,0.005055788920005285
1,0.050505050505050504,1.9191919191919191,0.4,0.1,1.25,0.34,10,9.525696969696968,0.022142005173834828,0.02130937721127794,0.004705176099439899
1,0.050505050505050504,1.9696969696969697,0.4,0.1,1.25,0.34,10,9.705373737373737,0.02060648400991655,0.01983159778520765,0.004378877852107267
1,0.050505050505050504,2.0202020202020203,0.4,0.1,1.25,0.34,10,9.885050505050504,0.019177449373588257,0.018456300567343844,0.0040752079918875035
3,0.050505050505050504,2.0707070707070705,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0037913039488063614
3,0.050505050505050504,2.121212121212121,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.003511577891362034
3,0.050505050505050504,2.1717171717171717,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0032318518339177075
3,0.050505050505050504,2.2222222222222223,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0029521257764733803
3,0.050505050505050504,2.2727272727272725,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.002672399719029056
3,0.050505050505050504,2.323232323232323,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0023926736615847276
3,0.050505050505050504,2.3737373737373737,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.002112947604140402
3,0.050505050505050504,2.4242424242424243,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0018332215466960765
3,0.050505050505050504,2.474747474747475,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0015534954892517483
3,0.050505050505050504,2.525252525252525,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0012737694318074226
3,0.050505050505050504,2.5757575757575757,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0009940433743630972
3,0.050505050505050504,2.6262626262626263,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0007143173169187715
3,0.050505050505050504,2.676767676767677,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0004345912594744432
3,0.050505050505050504,2.727272727272727,0.4,0.1,1.25,0.34,10,10.0,0.01831563888873418,0.017626897603962216,0.0001548652020301176
1,0.050505050505050504,2.7777777777777777,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.285223641735444
1,0.050505050505050504,2.8282828282828283,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.319213271766374
1,0.050505050505050504,2.878787878787879,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.3532029017973035
1,0.050505050505050504,2.929292929292929,0.4,0.1,1.25,0.34,10,-2.0,2.225540928492468,2.1418516874174367,-2.3871925318282328
