case,Kn,Ks,gamma,beta,c0,pmax,p,m,r,P,E_n,E_s,Etot,P/E
1,0.0,2.3737373737373737,0.8,1.7,0.5,1.25,0.8752435344997239,5.733240894874463,0.29980517240022087,0.11516096188600856,0.2982226855613664,0.0014074637944771675,0.29963014935584353,0.38434370551023
1,0.0,2.4242424242424243,0.8,1.7,0.5,1.25,0.8752506690087157,5.809790577483925,0.2997994647930273,0.11509127001331815,0.2982784255872448,0.001352812269622952,0.2996312378568678,0.3841097171193366
1,0.0,2.474747474747475,0.8,1.7,0.5,1.25,0.875257003304955,5.886358348504404,0.29979439735603597,0.1150242674440784,0.2983316837980021,0.0013009374385153044,0.2996326212365174,0.3838843279793727
1,0.0,2.525252525252525,0.8,1.7,0.5,1.25,0.87526260450925,5.962943304676177,0.2997899163926,0.11495981836413666,0.29838260094450936,0.0012516663595318262,0.2996342673040412,0.3836671265889827
1,0.0,2.5757575757575757,0.8,1.7,0.5,1.25,0.8752675339181883,6.039544596960011,0.2997859728654493,0.11489779536917018,0.2984313081932745,0.0012048387594322148,0.29963614695270674,0.38345772543692846
1,0.0,2.6262626262626263,0.8,1.7,0.5,1.25,0.8752718475510616,6.116161426771808,0.29978252195915067,0.11483807885208934,0.2984779278812474,0.001160305972887192,0.2996382338541346,0.3832557593701247
1,0.0,2.676767676767677,0.8,1.7,0.5,1.25,0.8752755966409972,6.192793042441232,0.2997795226872022,0.11478055644144602,0.2985225742035509,0.0011179299813594845,0.2996405041849104,0.38306088408733313
1,0.0,2.727272727272727,0.8,1.7,0.5,1.25,0.8752788280761374,6.269438736205273,0.29977693753908996,0.11472512248609557,0.29856535384118527,0.0010775825409164326,0.2996429363821017,0.38287277474747217
1,0.0,2.7777777777777777,0.8,1.7,0.5,1.25,0.8752815847970971,6.346097840931569,0.2997747321623223,0.11467167758184701,0.2986063665334582,0.001039144390311749,0.29964551092376995,0.3826911246837253
1,0.0,2.8282828282828283,0.8,1.7,0.5,1.25,0.8752839061545387,6.422769727494775,0.29977287507636907,0.11462012813627002,0.29864570560174764,0.0010025045307282977,0.29964821013247595,0.3825156442135793
1,0.0,2.878787878787879,0.8,1.7,0.5,1.25,0.8752858282313991,6.499453802551208,0.2997713374148807,0.11457038596821224,0.29868345842886174,0.0009675595701652579,0.299651017999027,0.38234605953711215
1,0.0,2.929292929292929,0.8,1.7,0.5,1.25,0.8752873841342255,6.576149505913559,0.29977009269261956,0.11452236793892366,0.2987197068972382,0.0009342131264121892,0.2996539200236504,0.3821821117170265
1,0.0,2.9797979797979797,0.8,1.7,0.5,1.25,0.8752886042562597,6.652856308195052,0.2997691165949923,0.11447599561199086,0.2987545277907108,0.000902375282527914,0.2996569030732387,0.38202355573304425
1,0.0,3.0303030303030303,0.8,1.7,0.5,1.25,0.8752895165147795,6.729573709265004,0.2997683867881764,0.11443119493955665,0.29878799316380045,0.0008719620895199647,0.2996599552533204,0.38187015960414583
1,0.0,3.080808080808081,0.8,1.7,0.5,1.25,0.8752901465665155,6.806301236107612,0.29976788274678756,0.11438789597254555,0.2988201706799425,0.0008428951122520143,0.2996630657921945,0.38172170357447194
1,0.0,3.131313131313131,0.8,1.7,0.5,1.25,0.875290518002482,6.883038441214768,0.2997675855980143,0.11434603259283288,0.298851123922734,0.0008151010139943109,0.2996662249367283,0.38157797935678595
1,0.0,3.1818181818181817,0.8,1.7,0.5,1.25,0.8752906525248779,6.959784900763,0.2997674779800976,0.11430554226549174,0.29888091268186245,0.0007885111762503435,0.2996694238581128,0.3814387894295583
1,0.0,3.2323232323232323,0.8,1.7,0.5,1.25,0.8752905701061404,7.036540214892191,0.29976754391508764,0.1142663658094269,0.29890959321823035,0.0007630613497848529,0.29967265456801523,0.38130394638157555
1,0.0,3.282828282828283,0.8,1.7,0.5,1.25,0.8752902891410166,7.1133039976514025,0.2997677686871867,0.11422844718486228,0.29893721849836546,0.0007386913379376088,0.2996759098363031,0.381173272310274
1,0.0,3.3333333333333335,0.8,1.7,0.5,1.25,0.8752898265631675,7.190075897253755,0.29976813874946595,0.11419173329628995,0.2989638384385227,0.0007153446965529347,0.29967918313507563,0.3810465982377556
1,0.0,3.3838383838383836,0.8,1.7,0.5,1.25,0.8752891979871708,7.266855565356456,0.2997686416102634,0.1141561738096163,0.29898950008345637,0.0006929684739421443,0.2996824685573985,0.38092376360598434
1,0.0,3.4343434343434343,0.8,1.7,0.5,1.25,0.8752884178012881,7.343642679240119,0.29976926575896945,0.11412172098235371,0.29901424781881203,0.0006715129559760146,0.29968576077478803,0.3808046157658971
1,0.0,3.484848484848485,0.8,1.7,0.5,1.25,0.8752874992749636,7.42043693025091,0.299770000580029,0.11408832950581253,0.29903812353766246,0.0006509314414808279,0.2996890549791433,0.38068900952606516
1,0.0,3.5353535353535355,0.8,1.7,0.5,1.25,0.8752864546479732,7.4972380256351725,0.2997708362816214,0.11405595635833725,0.2990611668060324,0.0006311800315888582,0.29969234683762125,0.38057680672151045
1,0.0,3.5858585858585856,0.8,1.7,0.5,1.25,0.8752852952140016,7.574045687018857,0.29977176382879867,0.11402456066871795,0.29908341501324726,0.0006122174365513955,0.29969563244979863,0.3804678758133653
1,0.0,3.6363636363636362,0.8,1.7,0.5,1.25,0.8752840313964925,7.650859649700293,0.29977277488280596,0.1139941035889826,0.29910490351181324,0.0005940047973609403,0.2996989083091742,0.38036209151414213
1,0.0,3.686868686868687,0.8,1.7,0.5,1.25,0.8752826728180474,7.727679661862208,0.2997738617455621,0.11396454817584406,0.2991256657469773,0.0005765055211413059,0.2997021712681186,0.380259334437352
1,0.0,3.7373737373737375,0.8,1.7,0.5,1.25,0.8752812283638948,7.804505483836253,0.2997750173088841,0.11393585928013955,0.29914573337691286,0.0005596851290952525,0.2997054185060081,0.38015949076961886
1,0.0,3.7878787878787876,0.8,1.7,0.5,1.25,0.8752797062399709,7.881336887417837,0.2997762350080233,0.11390800344365469,0.29916513638429115,0.0005435111159473586,0.2997086475002385,0.38006245196366595
1,0.0,3.8383838383838382,0.8,1.7,0.5,1.25,0.8752781140261107,7.958173655217864,0.29977750877911147,0.11388094880277637,0.29918390317992044,0.0005279528199205046,0.29971185599984096,0.3799681144506903
1,0.0,3.888888888888889,0.8,1.7,0.5,1.25,0.8752764587247893,8.035015580060064,0.2997788330201685,0.11385466499846549,0.2992020606990891,0.0005129813023680207,0.29971504200145715,0.3798763793707489
1,0.0,3.9393939393939394,0.8,1.7,0.5,1.25,0.8752747468057929,8.11186246446334,0.29978020255536564,0.11382912309208185,0.29921963449121186,0.0004985692362583769,0.2997182037274702,0.37978715231986765
1,0.0,3.9898989898989896,0.8,1.7,0.5,1.25,0.8752729842469394,8.188714120730332,0.2997816126024484,0.11380429548663214,0.2992366488035972,0.00048469080269827316,0.29972133960629543,0.3797003431124454
1,0.0,4.040404040404041,0.8,1.7,0.5,1.25,0.875271176573025,8.265570367674078,0.29978305874157996,0.11378015585304724,0.2992531266575508,0.00047132159553548456,0.2997244482530863,0.3796158655598614
1,0.0,4.090909090909091,0.8,1.7,0.5,1.25,0.8752693288881851,8.342431034905896,0.29978453688945184,0.11375667906112637,0.29926908992352125,0.0004584385314986301,0.2997275284550199,0.37953363725880734
1,0.0,4.141414141414141,0.8,1.7,0.5,1.25,0.875267445909468,8.419295958604803,0.29978604327242553,0.11373384111481498,0.29928455938644005,0.00044601976819547725,0.2997305791546355,0.37945357939650853
1,0.0,4.191919191919192,0.8,1.7,0.5,1.25,0.8752655319959177,8.496164981335225,0.29978757440326576,0.11371161909150884,0.2992995548089446,0.0004340446271892212,0.2997335994361338,0.37937561656559665
1,0.0,4.242424242424242,0.8,1.7,0.5,1.25,0.8752635911742438,8.573037954516145,0.2997891270606049,0.11368999108510278,0.29931409499171147,0.0004224935220738392,0.2997365885137853,0.3792996765887792
1,0.0,4.292929292929293,0.8,1.7,0.5,1.25,0.8752616271649709,8.649914734904955,0.2997906982680232,0.11366893615252194,0.29932819782677045,0.0004113478924501771,0.2997395457192206,0.3792256903565227
1,0.0,4.343434343434343,0.8,1.7,0.5,1.25,0.875259643404595,8.72679518577359,0.29979228527632396,0.11364843426349638,0.29934188034970327,0.00040059014173641724,0.2997424704914397,0.3791535916720952
1,0.0,4.393939393939394,0.8,1.7,0.5,1.25,0.8752576430667702,8.803679176236875,0.2997938855465838,0.11362846625335585,0.29935515878753544,0.00039020357949762056,0.29974536236703303,0.37908331710640364
1,0.0,4.444444444444445,0.8,1.7,0.5,1.25,0.8752556290814324,8.880566581614751,0.29979549673485406,0.11360901377864008,0.29936804860404714,0.0003801723675396975,0.2997482209715868,0.379014805860713
1,0.0,4.494949494949495,0.8,1.7,0.5,1.25,0.8752536041533825,8.95745728147657,0.2997971166772939,0.1135900592753352,0.29938056454111195,0.0003704814699202539,0.2997510460110322,0.37894799963818837
