case,alpha,beta,gamma,B,pmax,p,s,r,c,P,E,P/E
3,0.1,0.10101010101010101,0.050510000000000006,0.158,10,10.0,0.0,0.4948999999999999,0.10101010101010101,4.404110101010101,0.4948999999999999,8.898989898989901
3,0.1,0.10101010101010101,0.05152,0.158,10,10.0,0.0,0.4848,0.10101010101010101,4.314230303030303,0.4848,8.8989898989899
3,0.1,0.10101010101010101,0.05253000000000001,0.158,10,10.0,0.0,0.4746999999999999,0.10101010101010101,4.224350505050504,0.4746999999999999,8.898989898989898
2,0.1,0.10101010101010101,0.053540000000000004,0.158,10,9.389317153605536,0.0,0.4972959595959596,0.10101010101010101,4.121741609146407,0.4972959595959596,8.288307052595435
2,0.1,0.10101010101010101,0.05455000000000001,0.158,10,9.21640789193493,0.0,0.49724494949494946,0.10101010101010101,4.035340564679841,0.49724494949494946,8.11539779092483
2,0.1,0.10101010101010101,0.055560000000000005,0.158,10,9.049785108100442,0.0,0.4971939393939394,0.10101010101010101,3.952082759131336,0.4971939393939394,7.948775007090342
2,0.1,0.10101010101010101,0.05657,0.158,10,8.889112086036251,0.0,0.49714292929292925,0.10101010101010101,3.8717998344679776,0.49714292929292925,7.788101985026151
2,0.1,0.10101010101010101,0.057580000000000006,0.158,10,8.73407573477042,0.0,0.4970919191919192,0.10101010101010101,3.7943352452037997,0.4970919191919192,7.633065633760318
2,0.1,0.10101010101010101,0.05859,0.158,10,8.584384552126487,0.0,0.49704090909090914,0.10101010101010101,3.719543240250572,0.49704090909090914,7.483374451116386
2,0.1,0.10101010101010101,0.05960000000000001,0.158,10,8.439766795471492,0.0,0.496989898989899,0.10101010101010101,3.647287948291812,0.496989898989899,7.338756694461392
2,0.1,0.10101010101010101,0.060610000000000004,0.158,10,8.299968835359033,0.0,0.49693888888888893,0.10101010101010101,3.577442554604321,0.49693888888888893,7.198958734348934
2,0.1,0.10101010101010101,0.06162000000000001,0.158,10,8.164753671082783,0.0,0.4968878787878789,0.10101010101010101,3.509888558834934,0.4968878787878789,7.063743570072683
2,0.1,0.10101010101010101,0.06263,0.158,10,8.033899589863186,0.0,0.4968368686868686,0.10101010101010101,3.4445151045938713,0.4968368686868686,6.932889488853084
2,0.1,0.10101010101010101,0.06364,0.158,10,7.907198953710581,0.0,0.49678585858585866,0.10101010101010101,3.381218372886308,0.49678585858585866,6.80618885270048
2,0.1,0.10101010101010101,0.06465,0.158,10,7.784457100002343,0.0,0.4967348484848485,0.10101010101010101,3.3199010324009266,0.4967348484848485,6.683446998992242
2,0.1,0.10101010101010101,0.06566,0.158,10,7.665491343529723,0.0,0.49668383838383845,0.10101010101010101,3.260471740533355,0.49668383838383845,6.564481242519622
2,0.1,0.10101010101010101,0.06667,0.158,10,7.550130069254114,0.0,0.4966328282828283,0.10101010101010101,3.2028446897642873,0.4966328282828283,6.449119968244012
2,0.1,0.10101010101010101,0.06768,0.158,10,7.438211906297012,0.0,0.49658181818181824,0.10101010101010101,3.146939194654475,0.49658181818181824,6.33720180528691
